minuto,time,tipo,jogador,assist,placar_momento,descricao,Resultado,Data,IdJogo
90+3,Criciuma,1,Matheusinho,,,"Matheusinho assists a goal (Cross, Off the ground, Long Ball, Key pass, Right footed, Open play)",2-2,"Sun, 18-Aug-24",Criciuma x Vasco da Gama
90+3,Criciuma,16,Yannick Bolasie,Matheusinho,2-2,"GOAL! Yannick Bolasie scores , Assisted by Matheusinho (High to the right, 18-yard box, Big Chance, Head, Open play)",2-2,"Sun, 18-Aug-24",Criciuma x Vasco da Gama
19,Juventude,17,Jádson,,,Jádson recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
23,Athletico Paranaense,17,Mateo Gamarra,,,Mateo Gamarra recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
30,Juventude,1,Erick Farias,,,"Erick Farias assists a goal (Key pass, Fast break)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
30,Juventude,16,Nenê,Erick Farias,0-1,"GOAL! Nenê scores , Assisted by Erick Farias (Low to the right, 18-yard box, Big Chance, Right footed, Fast break)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
39,Athletico Paranaense,1,João Cruz,,,"João Cruz assists a goal (Key pass, Open play)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
39,Athletico Paranaense,16,Nikão,João Cruz,1-1,"GOAL! Nikão scores , Assisted by João Cruz (Low to the left, Out of box, Left footed, Open play)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
46,Juventude,18,Erick Farias,,,Erick Farias is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
46,Juventude,19,Edson Carioca,,,Edson Carioca is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
57,Athletico Paranaense,18,Julimar,,,Julimar is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
57,Athletico Paranaense,19,Agustín Canobbio,,,Agustín Canobbio is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
58,Athletico Paranaense,18,João Cruz,,,João Cruz is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
58,Athletico Paranaense,19,Christian,,,Christian is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
62,Juventude,18,Thiaguinho,,,Thiaguinho is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
62,Juventude,19,Dudu Vieira,,,Dudu Vieira is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
63,Juventude,18,Nenê,,,Nenê is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
63,Juventude,19,Mandaca,,,Mandaca is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
66,Athletico Paranaense,18,Lucas Di Yorio,,,Lucas Di Yorio is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
66,Athletico Paranaense,19,Tomás Cuello,,,Tomás Cuello is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
66,Athletico Paranaense,18,Nikão,,,Nikão is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
66,Athletico Paranaense,19,Gonzalo Mastriani,,,Gonzalo Mastriani is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
67,Juventude,1,Marcelinho,,,"Marcelinho assists a goal (Free-kick, Long Ball, Cross, Off the ground, Key pass, Right footed, Set piece)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
67,Juventude,16,Yan Souto,Marcelinho,1-2,"GOAL! Yan Souto scores , Assisted by Marcelinho (Low to the left, 18-yard box, Head, Set piece)",1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
69,Athletico Paranaense,18,Léo Linck,,,Léo Linck is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
69,Athletico Paranaense,19,Mycael,,,Mycael is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
72,Juventude,18,Jádson,,,Jádson is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
72,Juventude,19,Luís Oyama,,,Luís Oyama is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
74,Athletico Paranaense,17,Gabriel,,,Gabriel recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
81,Juventude,18,Yan Souto,,,Yan Souto is substituted off,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
81,Juventude,19,Abner,,,Abner is substituted on,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
82,Juventude,17,Alan Ruschel,,,Alan Ruschel recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
86,Athletico Paranaense,17,Christian,,,Christian recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
90,Athletico Paranaense,17,Bruno Zapelli,,,Bruno Zapelli recieves a yellow card,1-2,"Sun, 18-Aug-24",Athletico Paranaense x Juventude
3,Botafogo RJ,1,Marlon Freitas,,,"Marlon Freitas assists a goal (Off the ground, Through Ball, Key pass, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
3,Botafogo RJ,16,Mateo Ponte,Marlon Freitas,1-0,"GOAL! Mateo Ponte scores , Assisted by Marlon Freitas (Low to the right, 18-yard box, Big Chance, Head, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
8,Flamengo,18,Giorgian de Arrascaeta,,,Giorgian de Arrascaeta is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
8,Flamengo,19,Victor Hugo,,,Victor Hugo is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
24,Flamengo,1,Léo Ortiz,,,"Léo Ortiz assists a goal (Through Ball, Key pass, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
24,Flamengo,16,Bruno Henrique,Léo Ortiz,1-1,"GOAL! Bruno Henrique scores , Assisted by Léo Ortiz (High to the right, 18-yard box, Big Chance, Left footed, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
33,Botafogo RJ,17,Cuiabano,,,Cuiabano recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
46,Flamengo,18,Gerson,,,Gerson is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
46,Flamengo,19,Evertton Araújo,,,Evertton Araújo is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
52,Botafogo RJ,17,Mateo Ponte,,,Mateo Ponte recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
54,Botafogo RJ,16,Igor Jesus,,2-1,"GOAL! Igor Jesus scores  (Low to the centre, 18-yard box, Big Chance, Left footed, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
56,Botafogo RJ,17,Alexander Barboza,,,Alexander Barboza recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
63,Flamengo,17,Ayrton Lucas,,,Ayrton Lucas recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
65,Flamengo,18,Ayrton Lucas,,,Ayrton Lucas is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
65,Flamengo,19,Guillermo Varela,,,Guillermo Varela is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
66,Botafogo RJ,18,Mateo Ponte,,,Mateo Ponte is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
66,Botafogo RJ,19,Tchê Tchê,,,Tchê Tchê is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
66,Flamengo,18,Fabrício Bruno,,,Fabrício Bruno is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
66,Flamengo,19,Léo Pereira,,,Léo Pereira is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
67,Botafogo RJ,18,Igor Jesus,,,Igor Jesus is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
67,Botafogo RJ,19,Tiquinho Soares,,,Tiquinho Soares is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
70,Flamengo,17,Carlinhos,,,Carlinhos recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
74,Botafogo RJ,18,Thiago Almada,,,Thiago Almada is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
74,Botafogo RJ,19,Matheus Martins,,,Matheus Martins is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
74,Flamengo,18,Allan,,,Allan is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
74,Flamengo,19,Lorran,,,Lorran is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
80,Botafogo RJ,18,Luiz Henrique,,,Luiz Henrique is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
80,Botafogo RJ,19,Carlos Alberto,,,Carlos Alberto is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
80,Botafogo RJ,18,Marlon Freitas,,,Marlon Freitas is substituted off,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
80,Botafogo RJ,19,Allan,,,Allan is substituted on,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
84,Botafogo RJ,1,Jefferson Savarino,,,"Jefferson Savarino assists a goal (Cross, Off the ground, Key pass, Right footed, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
84,Botafogo RJ,16,Matheus Martins,Jefferson Savarino,3-1,"GOAL! Matheus Martins scores , Assisted by Jefferson Savarino (Low to the left, 18-yard box, Big Chance, Right footed, Open play)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
86,Botafogo RJ,17,Jefferson Savarino,,,Jefferson Savarino recieves a yellow card,4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
90+3,Botafogo RJ,1,Allan,,,"Allan assists a goal (Long Ball, Key pass, Fast break)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
90+3,Botafogo RJ,16,Matheus Martins,Allan,4-1,"GOAL! Matheus Martins scores , Assisted by Allan (High to the left, 18-yard box, Left footed, Fast break)",4-1,"Sun, 18-Aug-24",Botafogo RJ x Flamengo
25,Vitoria,16,Osvaldo,,1-0,"GOAL! Osvaldo scores  (High to the right, 18-yard box, Big Chance, Penalty, Right footed)",2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
29,Vitoria,16,Alerrandro,,2-0,"GOAL! Alerrandro scores  (High to the left, 18-yard box, Right footed, Open play)",2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
38,Vitoria,17,Neris,,,Neris recieves a red card,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
41,Vitoria,18,Alerrandro,,,Alerrandro is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
41,Vitoria,19,Edu,,,Edu is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
46,Vitoria,18,Filipe Machado,,,Filipe Machado is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
46,Vitoria,19,Carlos Eduardo,,,Carlos Eduardo is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
46,Cruzeiro,18,Lucas Silva,,,Lucas Silva is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
46,Cruzeiro,19,Matheus Pereira,,,Matheus Pereira is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
50,Cruzeiro,18,Álvaro Barreal,,,Álvaro Barreal is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
50,Cruzeiro,19,Mateus Vital,,,Mateus Vital is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
65,Cruzeiro,18,Marlon,,,Marlon is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
65,Cruzeiro,19,Kaiki,,,Kaiki is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
65,Cruzeiro,18,Ramiro,,,Ramiro is substituted off,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
65,Cruzeiro,19,Juan Dinenno,,,Juan Dinenno is substituted on,2-2,"Tue, 20-Aug-24",Vitoria x Cruzeiro
